,loss,log_p_x_given_z,log_q_z_given_x,log_p_z 
0,218.2642561452457,-207.23141698867747,-36.17579089033716,-47.20863100972038
1,86.20000394388516,-59.86364417030407,-19.528754846737396,-45.86511427906755
2,82.81722569084775,-56.35671658256943,-19.275704624553843,-45.73621385470745
3,80.76275768828468,-53.8178941769341,-18.724601178885273,-45.66946491570523
4,79.32957692496689,-51.93078682750176,-18.22385725502771,-45.62264709960154
5,78.2119244706517,-50.35044281932111,-17.73275328748903,-45.59423494186648
6,77.18776505442844,-48.8475217971558,-17.198973762341577,-45.539217050083124
7,76.32543184810548,-47.50422396675084,-16.737243027732784,-45.55845093650938
8,75.62389210466387,-46.34863706594837,-16.252931345004257,-45.528186127781495
9,74.88475563122441,-45.25068757176018,-15.854496206338409,-45.48856419572434
10,74.25679552364657,-44.25283129756064,-15.450005037716021,-45.453969205911164
